"","language","target","observations_per_class","top_k_words","classifier","hidden_layers","hidden_units","dropout_rate","learning_rate","epochs","Accuracy","Precision","Recall","F1"
"168","de","d_fr_lab",3611,10000,"MLP",3,128,0.2,1e-04,100,0.715116262435913,0.728559785158082,0.715116279069767,0.721775439174821
"169","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,0.01,100,0.805619537830353,0.809204299701139,0.80561970627142,0.80740802443815
"170","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,0.001,100,0.776750087738037,0.785325604310543,0.776761032082032,0.781019839377716
"171","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,1e-04,100,0.725241363048553,0.729034724111984,0.725246511351742,0.727135683832021
"172","de","d_fr_lab",3611,10000,"MLP",2,32,0.2,0.01,100,0.807904124259949,0.813863861555946,0.807908247100963,0.810875118962336
"173","de","d_fr_lab",3611,10000,"MLP",2,32,0.2,0.001,100,0.787966758012772,0.796266715931124,0.787974692283687,0.792099003609043
"174","de","d_fr_lab",3611,10000,"MLP",2,32,0.2,1e-04,100,0.730639010667801,0.733054665496366,0.730650705738423,0.731850711510231
"175","de","d_fr_lab",3611,10000,"MLP",2,64,0.2,0.01,100,0.804789423942566,0.812800481308958,0.804789486693013,0.808775147071972
"176","de","d_fr_lab",3611,10000,"MLP",2,64,0.2,0.001,100,0.796481877565384,0.805200612362997,0.796488499128701,0.800820861722938
"177","de","d_fr_lab",3611,10000,"MLP",2,64,0.2,1e-04,100,0.736038416624069,0.738270014370204,0.736041782310558,0.737154214497749
"178","de","d_fr_lab",3611,10000,"MLP",2,128,0.2,0.01,100,0.797106683254242,0.799964231278281,0.797102447369947,0.798530775308708
"179","de","d_fr_lab",3611,10000,"MLP",2,128,0.2,0.001,100,0.794820129871368,0.803350338540099,0.794825643532365,0.799065255609786
"180","de","d_fr_lab",3611,10000,"MLP",2,128,0.2,1e-04,100,0.741230934858322,0.744962537693236,0.741238680706871,0.743095943912916
"181","de","d_fr_lab",3611,10000,"MLP",3,16,0.2,0.01,100,0.803125709295273,0.808392802203471,0.803135433840648,0.805755542335489
"182","de","d_fr_lab",3611,10000,"MLP",3,16,0.2,0.001,100,0.806035250425339,0.814155943429512,0.806036542088853,0.810075898053624
"183","de","d_fr_lab",3611,10000,"MLP",3,16,0.2,1e-04,100,0.71983939409256,0.74485874510431,0.719868897799797,0.732150644459277
"184","de","d_fr_lab",3611,10000,"MLP",3,32,0.2,0.01,100,0.806867033243179,0.814515648396839,0.806868315092667,0.810673947242136
"185","de","d_fr_lab",3611,10000,"MLP",3,32,0.2,0.001,100,0.796692281961441,0.805694118833399,0.796696312927537,0.801169953463296
"186","de","d_fr_lab",3611,10000,"MLP",3,32,0.2,1e-04,100,0.743307411670685,0.750176104903837,0.743325448836381,0.746735064971974
"187","de","d_fr_lab",3611,10000,"MLP",3,64,0.2,0.01,100,0.807073265314102,0.814949915937486,0.807075611083034,0.810993650162194
"188","de","d_fr_lab",3611,10000,"MLP",3,64,0.2,0.001,100,0.799803972244263,0.807468164686482,0.79981231169032,0.803622004878795
"189","de","d_fr_lab",3611,10000,"MLP",3,64,0.2,1e-04,100,0.759093701839447,0.767196200226707,0.759101174251525,0.763127220437615
"190","de","d_fr_lab",3611,10000,"MLP",3,128,0.2,0.01,100,0.802089899778366,0.812627015829005,0.802085663471443,0.807321931017979
"191","de","d_fr_lab",3611,10000,"MLP",3,128,0.2,0.001,100,0.795444250106812,0.806678254244181,0.795452536985333,0.801026067761917
"192","de","d_fr_lab",3611,10000,"MLP",3,128,0.2,1e-04,100,0.778411656618118,0.787236647179196,0.778421471238846,0.782804243022797
"193","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,0.01,100,0.810864051183065,0.819788434244241,0.810854001946039,0.815296741827775
"194","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,0.001,100,0.775138994057973,0.785548028007413,0.775129244993828,0.780303859599155
